LC_cat,Selection,Season,Gull,Year,p-value
Bare ground,NA,Breeding,Archie,2017,0.895
Built Area,0.76,Breeding,Archie,2017,0.883
Crops,0.48,Breeding,Archie,2017,0.896
Flooded Vegetation,0.33,Breeding,Archie,2017,0.903
Rangeland,0.17,Breeding,Archie,2017,0.912
Sea Water,0.08,Breeding,Archie,2017,0.922
Trees,0.12,Breeding,Archie,2017,0.917
Water,0.63,Breeding,Archie,2017,0.889
Bare ground,0.67,Wintering,Archie,2017,0.008
Built Area,0.12,Wintering,Archie,2017,<0.001
Crops,0.12,Wintering,Archie,2017,<0.001
Flooded Vegetation,0.39,Wintering,Archie,2017,0.001
Rangeland,0.52,Wintering,Archie,2017,0.035
Sea Water,0.61,Wintering,Archie,2017,0.325
Trees,0.04,Wintering,Archie,2017,<0.001
Water,0.43,Wintering,Archie,2017,0.005
Built Area,0.9,Breeding,Clyde,2017,<0.001
Crops,0.23,Breeding,Clyde,2017,<0.001
Rangeland,0.13,Breeding,Clyde,2017,<0.001
Sea Water,0.36,Breeding,Clyde,2017,<0.001
Trees,NA,Breeding,Clyde,2017,0.887
Water,0.57,Breeding,Clyde,2017,<0.001
Bare ground,0.65,Wintering,Clyde,2017,<0.001
Built Area,NA,Wintering,Clyde,2017,0.936
Flooded Vegetation,NA,Wintering,Clyde,2017,0.973
Rangeland,0.49,Wintering,Clyde,2017,0.013
Sea Water,0.23,Wintering,Clyde,2017,<0.001
Water,0.81,Wintering,Clyde,2017,<0.001
Bare ground,NA,Breeding,Eric,2018,0.845
Built Area,0.24,Breeding,Eric,2018,0.827
Crops,0.75,Breeding,Eric,2018,0.863
Rangeland,0.43,Breeding,Eric,2018,0.84
Sea Water,0.11,Breeding,Eric,2018,0.811
Trees,0.04,Breeding,Eric,2018,0.793
Water,0.93,Breeding,Eric,2018,0.888
Bare ground,NA,Wintering,Eric,2018,0.227
Built Area,0.1,Wintering,Eric,2018,0.227
Crops,0.57,Wintering,Eric,2018,0.227
Flooded Vegetation,NA,Wintering,Eric,2018,0.227
Rangeland,NA,Wintering,Eric,2018,0.227
Sea Water,NA,Wintering,Eric,2018,0.227
Trees,NA,Wintering,Eric,2018,0.227
Water,0.38,Wintering,Eric,2018,0.227
Bare ground,NA,Breeding,Eric,2019,NA
Built Area,0.21,Breeding,Eric,2019,0.835
Crops,0.7,Breeding,Eric,2019,0.013
Rangeland,0.5,Breeding,Eric,2019,0.006
Sea Water,0.09,Breeding,Eric,2019,0.329
Trees,0.04,Breeding,Eric,2019,0.88
Water,0.96,Breeding,Eric,2019,0.162
Bare ground,NA,Wintering,Eric,2019,0.227
Built Area,NA,Wintering,Eric,2019,0.841
Crops,0.57,Wintering,Eric,2019,0.738
Flooded vegetation,NA,Wintering,Eric,2019,NA
Rangeland,NA,Wintering,Eric,2019,0.904
Sea water,NA,Wintering,Eric,2019,0.964
Trees,NA,Wintering,Eric,2019,1
Water,0.1,Wintering,Eric ,2019,0.003
Bare ground,NA,Breeding,Eric,2020,NA
